"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"692","景泰复利回报1期",19.2,"21.09",18.18,19.8
"660","景泰复利回报二期",20.62,"22.51",19.63,20.82
"590","景泰复利回报五期",22.9,"24.78",21.97,22.36
"717","景泰复利回报一期",18.33,"20.24",17.39,23.3
"1059","璟恒一期",4.51,"11.28",9.77,14.29
"83","久富1期",65.54,"63.07",69.92,79.14
"75","久富2期",67.24,"64.8",73.49,80.43
"124","久富3期",58.18,"53.53",59.32,66.6
"198","久富4期",48,"50.1",56.9,63.9
"1423","久久益",-18.97,"-17.63",-17.62,-16.21
"1110","久铭一期",2.45,"5.58",5.39,5.75
"1276","久阳5期",-6.15,"4.89",17.96,16.52
"892","玖逸一期",11.36,"23.6",25.63,25.02
"1273","巨鹿1期",-5.93,"-10.53",-9.08,-11.84
"35","巨杉净值线1号",97.12,"93.2",103.09,105.89
"128","巨杉净值线2号",57.61,"66.33",74.3,77.19
"67","巨杉净值线3号",70.43,"79.3",88,91.3
"108","巨杉净值线4号",59.92,"68.26",76.39,80.37
"162","巨杉净值线6号",52.95,"60.66",67.27,70.66
"80","巨杉净值线7号",66.43,"78.23",88.71,92.84
"401","巨杉净值线8号",31.61,"41.81",47.96,50.64
"1409","钜派1期",-17.32,"-8.1",-8.25,-5.42
"70","钜融金鳞1号",69.61,"104.56",93.87,101.46
"1001","聚金1号",6.62,"10.42",10.31,23.89
"1119","聚益1号",1.85,"12.09",21.8,30.11
"317","聚益2号",36.8,"48",49,59.1
"415","聚益3号",30.82,"34.97",35.04,45.79
"528","聚益5号",25.54,"50.93",51.52,43.42
"1460","君丰1期",-29.61,"-11.58",3.34,11.1
